Pistachio_Index,tip_Closest_50_1,tip_Closest_50_2,tip_Closest_50_3,tip_Closest_50_4,tip_Closest_50_5,tip_Closest_50_6,tip_Closest_50_7,tip_Closest_50_8,Status,Status Color,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,tip_Farthest_50_1,tip_Farthest_50_2,tip_Farthest_50_3,tip_Farthest_50_4,tip_Farthest_50_5,tip_Farthest_50_6,tip_Farthest_50_7,tip_Farthest_50_8,tip_Closest_30_1,tip_Closest_30_2,tip_Closest_30_3,tip_Closest_30_4,tip_Closest_30_5,tip_Closest_30_6,tip_Closest_30_7,tip_Closest_30_8,tip_Farthest_30_1,tip_Farthest_30_2,tip_Farthest_30_3,tip_Farthest_30_4,tip_Farthest_30_5,tip_Farthest_30_6,tip_Farthest_30_7,tip_Farthest_30_8,tip_Farthest_70_1,tip_Farthest_70_2,tip_Farthest_70_3,tip_Farthest_70_4,tip_Farthest_70_5,tip_Farthest_70_6,tip_Farthest_70_7,tip_Farthest_70_8,tip_Closest_70_1,tip_Closest_70_2,tip_Closest_70_3,tip_Closest_70_4,tip_Closest_70_5,tip_Closest_70_6,tip_Closest_70_7,tip_Closest_70_8
CT3-A5-full_1,0.315,0.0,0.0,0.0,0.137,0.022,0.0,0.526,Blank,#dbc381,0.333,0.0,0.0,0.0,0.13,0.046,0.0,0.492,0.35,0.0,0.0,0.0,0.123,0.068,0.0,0.459,0.254,0.0,0.0,0.0,0.182,0.035,0.0,0.53,0.392,0.0,0.0,0.0,0.144,0.052,0.0,0.412,0.363,0.0,0.0,0.0,0.11,0.05,0.0,0.477,0.306,0.0,0.0,0.0,0.123,0.043,0.0,0.527
CT3-A5-full_2,0.191,0.0,0.0,0.0,0.054,0.003,0.0,0.752,Blank,#dbc381,0.172,0.0,0.0,0.0,0.059,0.022,0.0,0.747,0.154,0.0,0.0,0.0,0.064,0.041,0.0,0.741,0.262,0.0,0.0,0.0,0.065,0.004,0.0,0.668,0.203,0.0,0.0,0.0,0.07,0.042,0.0,0.684,0.134,0.0,0.0,0.0,0.056,0.03,0.0,0.78,0.159,0.0,0.0,0.0,0.054,0.013,0.0,0.774
CT3-A5-full_3,0.769,0.0,0.0,0.0,0.23,0.0,0.0,0.002,Filled,#5dde6a,0.789,0.0,0.0,0.0,0.206,0.001,0.0,0.004,0.804,0.0,0.0,0.0,0.189,0.001,0.0,0.006,0.654,0.0,0.0,0.0,0.346,0.0,0.0,0.001,0.782,0.0,0.0,0.0,0.21,0.001,0.0,0.008,0.826,0.0,0.0,0.0,0.167,0.001,0.0,0.005,0.794,0.0,0.0,0.0,0.203,0.001,0.0,0.002
CT3-A5-full_4,0.612,0.0,0.0,0.0,0.362,0.003,0.001,0.021,Filled,#5dde6a,0.775,0.0,0.0,0.0,0.191,0.002,0.001,0.031,0.933,0.0,0.0,0.0,0.025,0.001,0.0,0.041,0.502,0.0,0.0,0.0,0.49,0.0,0.001,0.006,0.929,0.0,0.0,0.0,0.025,0.001,0.0,0.045,0.895,0.0,0.0,0.0,0.059,0.003,0.001,0.042,0.713,0.0,0.0,0.0,0.258,0.003,0.001,0.025
CT3-A5-full_5,0.157,0.0,0.0,0.0,0.157,0.019,0.0,0.667,Blank,#dbc381,0.169,0.0,0.0,0.0,0.167,0.009,0.0,0.655,0.18,0.0,0.0,0.0,0.177,0.0,0.0,0.643,0.159,0.0,0.0,0.0,0.199,0.02,0.0,0.622,0.168,0.0,0.0,0.0,0.188,0.0,0.0,0.644,0.174,0.0,0.0,0.0,0.153,0.005,0.0,0.668,0.169,0.0,0.0,0.0,0.158,0.013,0.0,0.659
CT3-A5-full_6,0.478,0.0,0.0,0.0,0.517,0.0,0.0,0.004,Filled,#5dde6a,0.674,0.0,0.0,0.001,0.313,0.0,0.001,0.011,0.789,0.0,0.0,0.001,0.194,0.0,0.001,0.014,0.428,0.0,0.0,0.001,0.571,0.0,0.0,0.0,0.805,0.0,0.0,0.002,0.174,0.001,0.001,0.018,0.727,0.0,0.0,0.001,0.258,0.0,0.001,0.013,0.59,0.0,0.0,0.0,0.403,0.0,0.0,0.006
CT3-A5-full_7,0.45,0.0,0.005,0.027,0.29,0.003,0.046,0.179,Filled,#5dde6a,0.433,0.0,0.003,0.022,0.37,0.009,0.058,0.105,0.415,0.0,0.0,0.017,0.452,0.016,0.071,0.029,0.481,0.0,0.0,0.036,0.315,0.003,0.032,0.132,0.236,0.0,0.0,0.029,0.661,0.004,0.063,0.007,0.412,0.0,0.004,0.016,0.393,0.012,0.069,0.094,0.504,0.0,0.004,0.02,0.264,0.012,0.056,0.141
CT3-A5-full_8,0.29,0.0,0.0,0.0,0.051,0.021,0.0,0.638,Blank,#dbc381,0.241,0.0,0.0,0.0,0.069,0.012,0.0,0.678,0.193,0.0,0.0,0.0,0.086,0.003,0.0,0.717,0.323,0.0,0.0,0.0,0.051,0.036,0.001,0.59,0.216,0.0,0.0,0.0,0.098,0.001,0.0,0.685,0.207,0.0,0.0,0.0,0.076,0.002,0.0,0.715,0.252,0.0,0.0,0.0,0.056,0.017,0.0,0.675
CT3-A5-full_9,0.312,0.0,0.0,0.0,0.051,0.002,0.001,0.634,Blank,#dbc381,0.387,0.0,0.0,0.0,0.083,0.002,0.0,0.527,0.463,0.0,0.0,0.0,0.116,0.003,0.0,0.418,0.288,0.0,0.0,0.0,0.047,0.003,0.001,0.661,0.375,0.0,0.0,0.0,0.135,0.004,0.0,0.486,0.429,0.0,0.0,0.0,0.099,0.002,0.0,0.469,0.392,0.0,0.0,0.0,0.061,0.002,0.001,0.545
CT3-A5-full_10,0.147,0.0,0.0,0.0,0.041,0.003,0.0,0.809,Blank,#dbc381,0.144,0.0,0.0,0.0,0.095,0.004,0.0,0.757,0.14,0.0,0.0,0.0,0.149,0.005,0.0,0.705,0.176,0.0,0.0,0.0,0.039,0.005,0.0,0.78,0.179,0.0,0.0,0.0,0.175,0.008,0.0,0.637,0.13,0.0,0.0,0.0,0.119,0.004,0.0,0.747,0.128,0.0,0.0,0.0,0.061,0.002,0.0,0.808
